;nome;link;preco
0;Apple iPhone 16 Plus 256GB - Ultramarino;https://www.casasbahia.com.br/apple-iphone-16-plus-256gb-ultramarino/p/55067454;10299.00
1;Apple iPhone 16 Plus 256GB - Rosa;https://www.casasbahia.com.br/apple-iphone-16-plus-256gb-rosa/p/55067453;10299.00
2;Apple iPhone 15 128GB - Preto;https://www.casasbahia.com.br/apple-iphone-15-128gb-preto/p/55065306;5221.11
3;Apple iPhone 13 128GB - Rosa;https://www.casasbahia.com.br/apple-iphone-13-128gb-rosa/p/55048760;3943.33
4;Apple iPhone 12 128GB - Preto;https://www.casasbahia.com.br/apple-iphone-12-128gb-preto/p/55029405;3332.22
5;Apple iPhone 15 Pro 128GB - Titânio Natural;https://www.casasbahia.com.br/apple-iphone-15-pro-128gb-titanio-natural/p/55064585;7665.56
6;Apple iPhone 14 Pro 512GB - Roxo Profundo;https://www.casasbahia.com.br/apple-iphone-14-pro-512gb-roxo-profundo/p/55054472;8839.89
7;Usado: iPhone 11 128GB Preto Bom - Trocafone;https://www.casasbahia.com.br/usado-iphone-11-128gb-preto-bom-trocafone/p/1555639935;2009.00
8;Apple iPhone 13 256GB - Rosa;https://www.casasbahia.com.br/apple-iphone-13-256gb-rosa/p/55048764;4665.56
9;Apple iPhone 15 256GB - Verde;https://www.casasbahia.com.br/apple-iphone-15-256gb-verde/p/55065315;5776.67
10;Usado: iPhone 11 64GB Preto Bom - Trocafone;https://www.casasbahia.com.br/usado-iphone-11-64gb-preto-bom-trocafone/p/1529597236;1829.00
11;Apple iPhone 14 Pro Max 512GB Prateado;https://www.casasbahia.com.br/apple-iphone-14-pro-max-512gb-prateado/p/55054424;9443.33
12;Usado: iPhone 11 64GB Preto Muito Bom - Trocafone;https://www.casasbahia.com.br/usado-iphone-11-64gb-preto-muito-bom-trocafone/p/1555684045;1949.00
13;Usado: iPhone 11 128GB Branco Muito Bom - Trocafone;https://www.casasbahia.com.br/usado-iphone-11-128gb-branco-muito-bom-trocafone/p/1557744086;2199.00
14;Apple iPhone 15 Pro 128GB - Titânio Azul;https://www.casasbahia.com.br/apple-iphone-15-pro-128gb-titanio-azul/p/55064586;7499.00
15;Apple iPhone 14 Pro 512GB Prateado;https://www.casasbahia.com.br/apple-iphone-14-pro-512gb-prateado/p/55054470;8776.67
16;Apple iPhone 16 Plus 256GB - Branco;https://www.casasbahia.com.br/apple-iphone-16-plus-256gb-branco/p/55067452;10299.00
17;Usado: iPhone 12 128GB Preto Bom - Trocafone;https://www.casasbahia.com.br/usado-iphone-12-128gb-preto-bom-trocafone/p/1558397405;2749.00
18;Usado: iPhone XR 64GB Preto Bom - Trocafone;https://www.casasbahia.com.br/usado-iphone-xr-64gb-preto-bom-trocafone/p/1519390793;1359.00
19;Apple iPhone 14 Pro Max 512GB Preto Espacial;https://www.casasbahia.com.br/apple-iphone-14-pro-max-512gb-preto-espacial/p/55054423;9443.33
20;Apple iPhone 15 Pro Max 512GB - Titânio Preto;https://www.casasbahia.com.br/apple-iphone-15-pro-max-512gb-titanio-preto/p/55064635;Preço não disponível
21;Apple iPhone 15 Plus 128GB - Rosa;https://www.casasbahia.com.br/apple-iphone-15-plus-128gb-rosa/p/55064617;7221.11
22;Apple iPhone 14 Pro 1TB Roxo-profundo;https://www.casasbahia.com.br/apple-iphone-14-pro-1tb-roxo-profundo/p/55054476;9665.56
23;Apple iPhone 14 Pro 512GB Dourado;https://www.casasbahia.com.br/apple-iphone-14-pro-512gb-dourado/p/55054471;8895.44
24;iPhone 11 Apple 128GB Branco Tela de 6,1”, Câmera Dupla de 12MP, iOS;https://www.casasbahia.com.br/iphone-11-apple-128gb-branco-tela-de-61-camera-dupla-de-12mp-ios/p/55014771;5527.90
25;Apple iPhone 15 Plus 128GB - Azul;https://www.casasbahia.com.br/apple-iphone-15-plus-128gb-azul/p/55064619;6887.78
26;Apple iPhone 14 Plus 128GB - Meia-noite;https://www.casasbahia.com.br/apple-iphone-14-plus-128gb-meia-noite/p/55054431;6355.90
27;Apple iPhone 14 Plus 512GB - Roxo;https://www.casasbahia.com.br/apple-iphone-14-plus-512gb-roxo/p/55064259;6243.33
28;Usado: iPhone 11 64GB Branco Bom - Trocafone;https://www.casasbahia.com.br/usado-iphone-11-64gb-branco-bom-trocafone/p/1557738774;1829.00
29;Apple iPhone 14 Pro 1TB Preto Espacial;https://www.casasbahia.com.br/apple-iphone-14-pro-1tb-preto-espacial/p/55054473;9221.11
30;Usado: iPhone 13  PRO 128GB Grafite Muito Bom - Trocafone;https://www.casasbahia.com.br/usado-iphone-13-pro-128gb-grafite-muito-bom-trocafone/p/1563279851;4569.00
